ID,remember,key_takeaways,address
121,"It's not about picking the most expensive option in a project, rather, its about choosing what options work best and are ""the most bang for your buck"". In the case study, it dealt with the ""choosing by advantages"" method to pick the parts of the hospital, such as exterior walls, that would rate the highest in price and performance compared to all the options.","* Ideally , the goal is to increase project value while cutting expenses

* Cutting can be flexible with more being taken from some areas and less in others

* Choosing by advantages and making a graph makes it clear how the most expensive or cheapest is not always the best choice",I believe it was created as a method for getting to the target cost as much as possible. The challenge of compromising to meat financial goals is the main target of TVD. It's a method that introduces different ways to meet the lower end price such as cutting from the beginning. T
122,"a hospital was trying to be built in different locations and they were given values on what is expected, wanted, and necessary.Â ","negotiation, cutting cost, and managing money",target value design was created to give people a representation of a value to target. Which would also help put a value on an asset.
123,"TVD is used to increase productivity and cooperation/interaction between specializations and the project manager for a more efficient project completion,","TVD promotes cooperation between specializations.

TVD creates a much more efficient, flexible project.

TVD can assist in maintaining the planned project's scope.","TVD was created to address the rigidity of a team of several specializations on a project. TVD is designed to introduce more flexibility and flow between the specializations to optimize time, cost, and overall effectiveness."
124,TVD is a broad strategy to increase project management capabilities by different methods all at once. TVD is used where people may face challenges or seek guidance.Â ,"Choosing advantages, cost analysis, and managing wants vs needs.","I think TVD was created to address any and all confusion with project management, such as cost and scope management."
125,"I remember being presented with information regarding what the project was and the goal of it. In addition, it informed us about the needs and necessities of the hospital and the timeline it was scheduled for. The budget was another important factor that was included.Â ","Making sure your stakeholders can negotiate is crucial.Â 

Understanding the needs/wants of the project can change an entire budget

Making sure not have bias in a project is extremely important","I think it was created for any engineering project. When decisions need to be made on what materials need to be used when designing a building and structure and how much material is needed and how expensive it can be. In addition, if the size of the structure needs to be adjusted due to the environmental factors or even the funding."
126,"CVT is a method uses to helps foster communication, cooperation, and clear goals between groups of people to complete a project or task.","1. Cost management

2. Accounting for uncertainty

3. Creating buy ins with stakeholders","Since Civil engineering is such as wide and complicated field that are connected to othe fields, CVT helps by emphasizing communication and goals to keeps projects going as smoothly as possible."
127,TVD was used in the selections in things brought into the hospital by using a table that defined the must have the could haves and the not necessary but would be nice things to be implemented into the hospital. Then we can use TVD to determine which features would be brought into the hospital.,"1. Proper preparation gives the project a way better chance at being successful.

2.the implementation of the kitchen metaphor allowed me to fully understand TVD.

3. also the importance and effectiveness of choosing by advantages.Â ",Target value design was put in place to set up everyone involved with the project to succeed. it does this by forcing everyone involved to put in the effort in the bigging stages of the project to allow for the rest of the project to flow smoothly. an example of this is we can use TVD to figure out how we can have the market cost of the project meet and even go below the the allow cost of the project.
128,I remember having to use the choosing by advantages method throughout the process of TVD,"1. It is important to use choosing by advantages throughout the process of TVD

2. We have to consider all the stakeholders opinions when planning a project

3. We have to know how to deal with changing circumstances such as new permits and code",It could have been made to address the many different needs of stakeholders that could be conflicting with one another
129,"Target value design is a way to engineer a solution to issues that come up regarding money, materials, etc.

Â ","Choosing by advantages is a great way to come to a solution when comparing different alternatives.

Paying attention to the needs of the owner, and the wants and satisfactory things after the needs are implemented.

Scenarios were very helpful to get me to understand the Target value design lesson","I think the issues such as changes in the money, resources, etc while the design is going on, to help come up with solutions quickly"
130,customers budget and project plans.,"uniformat. RSM, FRED",scale for pricingÂ 
131,The Target Value Design (TVD) is a collaborative approach that aligns the project design with the client's goals and budget constraints. This design method emphasizes continuous communication involving all the stakeholders.Â ,"1. Early and continuous collaboration

2. Value-driven decision making

3. Cost management and efficiency",I believe Target Value Design (TVD) was created to address misalignment between design and client needs and cost inefficiencies. Integrating this approach promotes a shared commitment to achieving collaboration from the start and keeping budgets within constraints.Â Â 
132,"I remember from the case study and presentation that Target Value Design (TVD) was used to tackle the budget issues Topnotch Health encountered when building a new healthcare campus. The original project design exceeded the budget, so TVD was employed to realign the design and construction process with the financial constraints.","Â When analyzing the Project Organization Chart, it's crucial to consider the hierarchy, cost, and the three main factors: economics, safety, and aesthetics.","TVD was created to address cost overruns, delays, inefficiencies in the design and construction process, and misalignment with project goals."
133,Make sure there is clear communication between the leader and team members.Â ,"Budget

Â 

Communication

Â 

Planning",There has to be a balance between economically sound materials and safety requirements when designing and building structures/roads/etc.
134,Â I remember being called on in class and listening to which parts of the hospital were more important.,"* team management

* alternative solutionsÂ 

* cost management",I think Target Value Design was created to address challenges of which aspects of the design hold priority or are more valuable for the project as a whole without sacrificing necessary aspects.Â 
135,The things I mainly remember is the choosing my advantages examples.,"The constraints and needs of the client, the feasibility of the project, and the designing of the project cost.",I think it was to ensure the clients got their value and quality from the project.
136,I remember using the choosing by advantages method.,"Designing is and involved process.

Multiple perspectives should be considered.

Rewards should be offered to all parties for working together.","Disagreements between different parties.

Â "
137,"It is a great method to use, but like others it has its pros and cons","Understand project goals

Know the scope of the project

Provide creative input to drive efficiency and meet budget goals","The priority of what and how to build, such as if a certain thing has to be done or if the cost can be reduced.Â "
138,Target Value Design allows us to cut costs among multiple options without missing out on significant value,"Making an unbiased chart of value per item

Determining which areas are worth spending extra for

Working among different trades to optimize money",Creating a larger profit in a field where the margins would typically be less profitable
139,The biggest concept about TVD to me is that it is very dynamic. You have to constantly look at the budget and work with that to get what is needed.,"1. There are smart selections when cutting costs

2. For TVD to work need to work as team

3. Engaging stakeholders is importantÂ ",I believe TVD was created to address spending too much on overqualified material. In other words to get the most out of the target budget.
140,"Based off of the case study, Target Value Design allowed us to look at different exterior wall systems for the hospital facades and decide on the best fit.","* When managing teams with multiple thoughts on the route to take, target value design can help narrow it down.

* Cutting from the beginning before design and detailed estimation.

* Information obtained from this method can be plotted for an easy visual to pick the best option and present to stakeholders.","When working in larger groups, it is hard for everyone to all agree on the same ideas. Target Value Design solves these issues by allowing the whole team to work together to place these ideas on a scale and narrow it down to one thing that everyone can agree on."
141,It is a process of the designing a project to meet or be under a certain price point to make the project affordable.Â ,Make sure you understand your customers budget up front.,"Some areas are getting more costly to build in, so it helps to be able to design your build to be cost effective the first time, not the seconded time."
142,"Target Value Design includes choosing by advantages, system thinking, adaptive leadership, and co-location. This means cutting from the beginning of the project before detailed estimation comes in and the designs are made. This prevents losing more money to cutting after most things are done.Â ","Make the best choice for the whole team, cost efficient, and time efficient.Â ","It's used to address how we communicate with our team and buyers to make a better job site. It also helps the project move faster and more smoothly. For instance, choosing by advantages shows the team which features are more important and how they compare to the cost.Â "
143,"The TVD process is constrained to a budget from the start of a project, unlike other processes where a price is given once the project is finished. This process promotes collaboration in the team.Â ","-TVD promotes collaboration.

-TVD is constrained to a price.

-The design of the project can change to meet clients' budget.Â ",TVD was created to address cost management of big projects so that value can be given to the client while the company and its workers can work with a profit incentive.Â 
144,"I remember that a way of resolving conflicts is moving the budget around from subcontractor to sub-contractor to maximize the budget. To keep moral up, incentives (e.g., bonuses) can be given to the entire team for their comprehension.Â ","1. Even if we have a large budget, we need to be wise when making design decisions. In other words, ""don't blow all the money"". This can ensure the profit margin is higher or we can complete the project without needing all of the client's money, which can create an incentive for them to continue doing projects with us.Â 

2. Choosing by advantages can be use to resolve issues in the TVD method.Â 

3. Collaboration and communication is essential to reaching consensus and keeping your team's moral high when you are the PM.Â ","Target Value Design was most likely created to resolve conflicts between stakeholders. The outcome of the process is to come to a consensus that makes everyone feel heard while meeting budgetary constraints. In simple terms, it is the process of finding the ""sweet spot"" between cost and meeting all client demands.Â "
145,I know that target value design contains methods that act as a guide through basic challenges and dilemmas in the industry.Â ,"1. Whatever issues you run into, it is almost guaranteed that somebody else has already solved that problem and you can learn from their methods.Â 

2. There are processes for communication and decision-making.Â 

3. We use lots of different factors to make decisions.Â ",I think it was created based on basic challenges of out industry to help guide project managers through changes and decisions.Â 
146,They had to find the best way to make the project cheaper in a smart beneficial way for the stakeholders and be able to move some trades away for the best result,"Sometimes, you have to negotiate between the stakeholders to achieve the best results for the project; choosing advantages is one way you can solve picking to find the best fit for you, that economic and aesthetic to a project is prioritized more than a safety aspect",To help create a target for what people want and demand and create ways to find the best way to give the people that
147,"Learning how to deal with the cost, stakeholders and challenges or changes of a project.Â ",There is more than one way to make a decision. Not every aspect of the project is going to be met as intended all the time. Everyone works together no matter what department you are in.Â ,"Communication between all teams. There is so much work that goes into a building or any other construction, not just engineering. It is important that everyone communicates with each other and does what is best for the client.Â "
148,NA,"The three biggest key takeaways for me would be the methods used for cost management, team management, and stakeholder management.Â ","TVD was designed to address budgeting issues within the industry. This can be in the form of preventing overbudgeting, making a project as economical as possible; also for projects with a set amount of funding available, in which they need a project to be around their set amount of funding.Â Â "
149,"Throughout the project, Target Value Delivery is a rigourous management technique that will be employed to ensure that the facility fulfills the operational requirements and values of the users, is delivered within the permitted budget, and encourages innovation to increase value and eliminate waste.","-the powerpoint is well organized and very colorful, easy to learn from

-I enjoyed reading about a place in Florida that my family travels to. It made it more interesting that I could relate somehow. (made it seem real)

-It was also interesting to me to read the ""wants"" and ""needs"" on the case study",The best way I can describe TVD is that Target Value Design (TVD) was originally developed to address the issue of unpredictable project costs and cost overruns in the construction sector.
150,Target value design lets the design be made according to the needs of the owner from the beginning.Â ,"1. need to determine what is feasible at the start of the project.Â 

2. take into account the budget and how much the client is willing to pay

3. design should reflect the cost",not going back to change things after the design process has been complete in order to meet the budget.Â 
151,Target optimizes your money,Optimize money resources and labor,Miss understandingÂ 
152,Target value design is optimizing the design to save money and be more sustainable.Â ,"Target value design is important for sustainability, design effectiveness and cost effectiveness.Â ",BudgetingÂ 
153,The Tvd was a yo build a hosipitalÂ ,"1) costsÂ 

2. Owner happiness

3. and I donâ€™t rememberÂ ",Target value design is a way to make the owner of the project and design of the construction to run smoothlyÂ 
154,Target value design is a project management strategy designed to allow all necessary components and needs of a project to be met by selectively and pre-emptively choosing the most important design elements of a project and cutting on necessary ones.Â ,"Target value design is effective, not as costly, and provides a better result.","Target value design, from my understanding, is a project budget management system designed to help project managers, stakeholders, and consultants meet all elements of a project such as necessary design features, budget, and scheduling concerns.Â "
155,TVD helps to visualize and differentiate the each part of the project and which ones to prioritize over the others.,"Must have criteria, target costing and choosing by advantages",Organizing and operating a project efficientlyÂ 
156,Target Value Design is a project planning method where every person working on the project from the start is designing/working in a cost-effective and sustainable manner. This eliminates the issues that arise when designs are completed with respect to a certain budget and are then needing to be adjusted/toned down due to a budget cut.,"1. It is better to plan smart from the beginning instead of needing to make difficult changes/decisions at the end

2. Building sustainably is not only a benefit for the environment, but it sometimes also can save money on the long run.

3.Â  Target Value Design is not only concerned with saving money, but also in saving time. Just as is important to leave more available money in the budget than you really need, it is also equally important to give yourself ""buffer time"".Â ",TVD was created to address the problems with trying to cut costs or cut time when the project is already nearing completion. It also addresses the issues relative to the effect of price increases and changes from the owner.
157,"From the case study and presentation, TVD was designed to create a more integrated and collaborative approach to project delivery, ensuring that projects are completed on time, within budget, and with a focus on delivering maximum value to the owner and other stakeholders.","The first key takeaway from Target Value Design (TVD) is the importance of collaboration and integration among all project stakeholders from the outset, ensuring that everyone works towards a common goal that aligns with the project's budget and value targets. Second, is that cost control should be a continuous process throughout the design and construction phases, rather than something addressed only after the design is complete. This proactive approach helps prevent budget overruns and ensures that the project delivers maximum value within financial constraints. The last key takeaway is TVD emphasizes the importance of focusing on value rather than merely cutting costs, encouraging decisions that enhance the project's overall utility and long-term benefits, even if they involve higher initial investments.","Target Value Design (TVD) was created to address several challenges in the construction and design industry, particularly those related to cost management, stakeholder alignment, and the complexity of large-scale projects. I'd say the key challenges such as cost management, stakeholder collaboration, managing scope and quality, and flexibility and change management."
158,The big take away I got from TVD is that it's an efficient way to manage a project that meets the requirements while remaining within a budget.,"1. Choosing by advantages table - what provides the most value relative to its cost

2. Scope/stakeholder requirements - understanding what the owner prioritizes for the projectÂ 

3. Be flexible in the design and planning - to account for unexpected fluctuations and costs",TVD was created to optimize and efficiently use the budget of a project. It does this by breaking down all the materials and costs of a project and categorizing them by which ones are most advantageous.
159,"TVD involves applying different methods to make decisions when faced with limited budget. One of them is choosing by advantage, also adaptation leadership, and system thinking.","Budget constrains make the engineers life so much more difficult than it needs to be. Also, cutting budgets requires a deep understanding of construction methods to not reduce the budget of something important.",Mostly budget constraints. Answering how to operate a large project with less budget than needed and risks. If every project had infinite budget there will be no need for compromising on anything in the construction processÂ 
160,"I remember 5 ""dilemmas"" in the case study consisting of Cost management, scope management, change management, team management, and stakeholder engagement.Â ","To keep a clear line of communication open with all stakeholders, do not be afraid of change and take appropriate action when necessary, and how to choose the best yet most cost-effective materials to use.Â ",TVD was created to ensure that the customer would get exactly what they wanted while working within their financial and time constrains.
161,TVD is designed to cut costs before the design is done and if it isn't feasible then the project will be stopped before construction starts. Within TVD they choose materials due to their advantages over others for the project.,"* Create designs with a certain budget

* Choose materials based on their advantages and not their cost

* Changing certain parts of a project can lead to saving on costs","TVD was created to address businesses having to cut corners near the end of construction due to a lack of available funds, leading to a lower quality project that the owner may not be satisfied with, but TVD allows for a design to be constructed with a certain budget in mind to ensure they're are enough funds for the planned construction with potential leeway in case of unexpected circumstances.Â "
162,"What I remembered about target value design is that it applies the principles of target costing to project delivery, focusing on setting cost as a design constraint rather than an outcome.",be great at communicating with people. think before acting. Needs come before wants.,"TVD assists in incorporating sustainable practices into the project from the outset, in line with the growing emphasis on sustainability."
163,Target Value Design is a range of prices based on the design of the building.Â ,"-meeting owner wants & needs

-idea for better project managementÂ 

-choosing by advantage method",The challenge of disorganization.Â 
164,TVD is a method in construction where projects are designed to meet a set budget from the start this focuses on giving the client the most value.Â ,"TVD puts the client first, allows for more collaboration in the beginning and is a efficient way to run a project",I think TVD was created to address cost overruns and inefficient collaborationÂ 
165,"Target Value Design is a series of ideologies and methodologies that can be used to help manage the overall cost expenditure of a project, with ways to best utilize each method determined by the nature of the project.","1. Although it is ultimately impossible to please everyone completely, by attempting to do so while accepting failure, you can achieve great things that otherwise seemed impossible.

2. Although there are multiple types of target value design, one of the most efficient options in a big picture sense might be system thinking, as this puts the needs of the individual aside for the collective.

3. When choosing by advantages, despite different variables having different levels of significance, there are times where it is objectively better to pick an option with a worse variable, due to it excelling in a different variable, and how to go about making this decision.","Within the context of engineering, Target Value Design was created to help address the issues regarding budget, how to lower the budget being used, and how to achieve it in a way to where everyone walks away without feeling slighted."
166,"In order to meet its budget, the hospital must manage which of its systems should have cut costs or not be installed initially.","Target value design can be used to effectively cut costs, use efficient spending, and work out issues with sponsors and subcontractors.","TVD was created to address the problems of cutting costs at a flat rate across all systems, as this causes more problems than by going over each system separately."
167,"TVD in the case study was used to help find a balance in spending by meeting expectations of ""need to haves"" and still ensuring that, if possible, the ""want to haves"" are met as well while still staying within an acceptable budget and time frame. This concept helped not only our group but the whole class discuss different possibilities of how we would approach the issues faced in the case study.","1. Engineers play a vital role in budget balance and designÂ 

2. Budget is an evolving constraint during the process of the project

3. Contracts vary project to project",TVD was designed to address spending issues that arise throughout the project and is used to create a free flowing budget among the systems. Also it was designed in order for more creative input to drive efficiency and to better understand the scope of the project.
168,I remember the goal of trying to match the price that the owner can afford per square foot by using multiple methods or approaches.Â ,"The cost management, change management, and the Team management","In my opinion it was created to address unforeseen conditions, to help the owners financially, combat inflation, and to help improve the overall infrastructure of the united states.Â "
169,I recall the process of weighing additional costs with their complimentary benefits.,"Must haves, budget allocation, cutting costs","TVD was created to address shortcomings in large projects. It takes a step back at each step in order to reevaluate the goal, budget, etc."
170,The case study mentioned target value design as a method to align project costs with the client's budget by designing to a target cost rather than adjusting the budget to meet design needs. I also remember how target value design includes early contact with stakeholders and construction processes to manage costs,"- Early collaboration among stakeholders is key
- Design to the target cost, not adjust costs to the design
- Focus on maximizing value while staying within budget",Risk management & budget control
171,"The Target Value Design primarily consists of system thinking, advantageous planning, and adaptive leadership. These allow for the construction process to run smoother.","* Advantageous planning

* Systematic thinking

* Adaptive leadership","Target Value Design was created to reduce costs after the design process but also mitigates any plans that may change during construction. The most important reasoning for the development of this strategy is to create clear communication to ensure economic, safety, and aesthetic through the most effective means."
172,Target value design is the system for leadership and sustainability in projects that keep them on a clean and clear path. The plan has a lot of different paths that spending and such can be divided with a very hard to identify clear answer such as what we saw in the case study.Â Â ,"The three takeaway topics that I saw in this lesson were Target value design and how to implement it, Project expectations, and integrated project delivery.","In my industry TVD is created to address the time versus money spent for civil engineers. They have adaptive leaderships so that people will have a chain of command in project and listen to the people above them. System thinking is also important for the sustainability of the project, less specific to cost but just a more efficient way to build.Â "
173,I remember the way that we as project managers have to understand the level of hierarchy in a project when going to others for decisions as well as producing deliverables that are sound engineering wise and get as much needs and wants from the buyer as possible.,"Plan well (Start, Continue, Finish)

Stay collaborative cant do the whole project onÂ  your own.

choosing by advantages method is a highly effective tool for decision making.",I feel it was implemented because project management was probably a lot more sporadic and chaotic. In fighting and differing opinions would cause plans to drag along and stall thus costing more money.
174,Target Value Design allows companies to design for projects to fit a specific budget.,"1) Cost cuts don't have to be equal by trade, you should do what is best for the project overall

2) Just because one aspect of an element in design is better does not mean that the element is necessary the best choice for the project

3) Trying to appease every stakeholder is hard!

Â ",It was created to address the challenges of a very low project budget.
175,Target Value Design is important for maximizing the budget and aligning the design process with the budget. The design and cost analysis are taken into account together.,"Optimizing the design to fit the budget, creating buy-in with the owner and stakeholder team, and performing cost analyses.","TVD addresses budget cuts, overrun budgets, and efficiency in the design process."
176,"Target value design sets a target value that the project homes to meet to save money, but also considers a higher allowable cost so that the project will still continue even if the target cost is exceeded.","Plan ahead, allow flexibility in your budget, and prioritize some criteria over others.","In my understanding, TVD was made to address projects going over budget or spending more money than was necessary."
177,I understand that there are a lot of moving parts to TVD from the case study. There was 6 dilemmas that we went over that each helped encompass the idea of TVD. I believe that TVD has a lot of responsibility but that responsibility can be distributed.,"Choosing by advantages

Adaptive Leadership

System thinking",Some challenges TVD was created to address could possibly be how to work together as a cohesive unit in a better way that allows more voices to be heard and understood. With the concepts of adaptive leadership and system thinking you are able to understand the project as a whole much better.
